step,reward
0,-303267.115342
1,-302977.186185
2,-302973.229362
3,-302972.515354
4,-302967.760983
5,-302972.834445
6,-303258.851235
7,-302972.401121
8,-302969.152104
9,-302968.316905
10,-303259.667874
11,-302965.068122
12,-302965.386707
13,-303263.745378
14,-303260.121652
15,-302968.750216
16,-302964.251476
17,-302962.590804
18,-302969.145145
19,-302965.125975
20,-303263.349945
21,-302969.463966
22,-303262.916891
23,-303263.031125
24,-303260.55419
25,-302968.635724
26,-303259.407157
27,-302965.781991
28,-302965.839968
29,-302965.954216
30,-302969.031155
31,-303256.476687
32,-302962.336458
33,-303256.872488
34,-302961.877193
35,-303256.222194
36,-302964.965499
37,-303256.158374
38,-302964.569796
39,-303255.904148
40,-303260.235642
41,-302959.940275
42,-303259.840196
43,-302965.52142
44,-302959.643707
45,-303259.725704
46,-302962.272491
47,-302962.892637
48,-303253.529591
49,-303254.243447
50,-303256.778373
51,-303253.925408
52,-303257.606859
53,-303256.618417
54,-302962.018413
55,-302961.622693
56,-303257.492611
57,-303257.174338
58,-303251.84727
