step,reward
0,2008.031233
1,1951.241924
2,1954.871589
3,1988.706218
4,2007.087258
5,1948.485567
6,2004.179261
7,2005.504547
8,2000.469854
9,2040.912246
10,2025.333176
11,2034.718516
12,1990.544353
13,2009.756704
14,1999.122459
15,1997.158053
16,2098.546636
17,2046.73084
18,1972.158409
19,1995.947611
20,1990.998202
21,2014.846077
22,2036.219721
23,2014.809286
24,1963.374082
25,2000.142018
26,1941.821241
27,1976.772441
28,1983.662731
29,2012.502047
30,1992.000335
31,2021.384529
32,2043.995488
33,1939.797985
34,2014.732135
35,2007.814657
36,1983.992712
37,2036.901726
38,1929.439083
39,2019.649741
40,2028.486128
41,2016.820177
42,1976.939058
43,1993.786251
44,1968.990826
45,1996.470942
46,1984.141094
47,1966.480953
48,1971.405058
49,2008.42994
50,2043.203549
51,2025.12174
52,2052.585505
53,1974.579744
54,1999.706194
55,1944.756077
56,1928.567841
57,1973.437414
58,1947.48931
59,1970.135965
60,1936.698091
61,1988.842937
62,1997.260635
63,2003.561474
64,1949.993865
65,2008.192667
66,2042.509418
67,2046.016451
68,1982.177253
69,2006.815668
70,2012.972943
71,1971.951445
72,2055.978546
73,2027.331367
74,1964.372011
75,1980.093806
76,2071.035864
77,1974.326071
78,1967.068127
79,2029.532126
80,1919.954656
81,2001.514108
82,1925.654141
83,1985.595907
84,2009.059377
85,1968.265242
86,1959.46192
87,1958.604703
88,2010.16475
89,1964.251001
90,1984.129062
91,2019.369045
92,2024.786899
93,2018.08489
94,2005.764382
95,2019.340173
96,1991.200988
97,2078.15559
98,2004.131147
99,2009.167503
100,2024.26502
101,2004.662538
102,1975.204737
103,1998.253476
104,2030.772074
105,2016.964995
106,2033.570073
107,1972.426039
108,2063.054107
109,1993.497111
110,1997.814493
111,2023.483048
112,1989.95284
113,1993.768716
114,2035.408421
115,2044.396983
116,2028.174066
117,1984.987251
118,1966.693713
119,2009.848719
120,1973.555776
121,1994.22116
122,1907.476681
123,2009.824562
124,2038.894494
125,2015.356572
126,2099.768732
127,1942.648793
128,1971.430029
129,1978.347729
130,2023.983781
131,1933.910989
132,1969.151561
133,2020.658246
134,1990.228672
135,2037.109466
136,2009.413825
137,1956.308478
138,2010.601486
139,2022.690986
140,2036.685851
141,2030.874783
142,1981.486743
143,1983.440524
144,2022.16445
145,2041.481845
146,1952.907688
147,1981.101286
148,2018.10953
149,2047.57651
150,2014.268531
151,2032.265017
152,2037.398522
153,2013.40339
154,2044.541637
155,2075.70372
156,2037.415027
157,2010.151555
158,2008.123455
159,1931.865539
160,1978.708244
161,2009.645367
162,1946.524815
163,1962.203882
164,2024.79336
165,1983.835895
166,2064.558657
167,1984.43636
168,1977.023707
169,1997.263917
170,1984.872972
171,1970.19742
172,1974.197106
173,1984.148859
174,1973.61162
175,2012.272331
176,2006.775619
177,2022.995006
178,1980.784444
179,1927.26915
180,2031.613162
181,2020.428201
182,2039.670116
183,2066.242799
184,1947.78274
185,1984.319095
186,1993.812987
187,2017.758597
188,1933.169016
189,2011.172479
190,1987.270403
191,1971.825808
192,2019.278342
193,2042.85608
194,1984.419225
195,1970.86009
196,2016.902137
197,2044.015127
198,1973.097531
199,2016.768155
200,1954.774721
201,1989.847183
202,2030.320081
203,2001.369282
204,2009.570678
205,2042.053686
206,2000.041851
207,2047.927178
208,2036.953069
209,1987.150657
210,2035.460903
211,1973.938688
212,2045.396954
213,1973.064268
214,1968.067613
215,2010.065797
216,2000.126454
217,1959.157457
218,2019.772199
219,2059.879596
220,2036.115705
221,2028.24188
222,2076.267823
223,1986.740754
224,2012.438213
225,1982.169308
226,2002.395196
227,2098.681354
228,1979.374128
229,2020.738759
230,2011.716481
231,2051.267484
232,2019.215249
233,1980.869935
234,1976.423641
235,2004.898724
236,1956.420292
237,2007.575006
238,2001.467568
239,2003.837544
240,1993.946963
241,2068.421446
242,1946.594086
243,1969.683954
244,2023.214302
245,2040.244799
246,1973.68085
247,1984.347798
248,2034.598063
249,1976.034701
250,1995.917666
251,2019.459717
252,2011.838437
253,2018.727175
254,1977.575317
255,2053.580451
256,2007.118881
257,1990.745867
258,2019.278933
259,2018.201638
260,2003.564626
261,1994.474706
262,1991.305605
263,2045.219314
264,1981.757771
265,2031.883286
266,1947.847961
267,1919.534391
268,2006.425561
269,1951.757384
270,2047.696428
271,1975.311817
272,1949.496473
273,2004.459754
274,1989.816836
275,2000.855855
276,2014.127295
277,2047.772641
278,2012.339599
279,1962.003239
280,2017.944424
281,2029.671854
282,2020.260613
283,2030.723895
284,2058.760614
285,2036.022997
286,2021.35406
287,2049.444279
288,1961.026923
289,1983.241582
290,2008.085926
291,1977.736623
292,1991.338596
293,2031.142558
294,2014.388909
295,2005.999321
296,2011.467499
297,2056.22655
298,1985.148865
299,1993.009952
300,2062.79278
301,2022.879758
302,1973.714741
303,1952.616196
304,-8333.335394
305,2019.290252
306,2001.615211
307,2001.025835
308,2027.451543
309,2000.545233
310,1988.760708
311,2008.2092
312,2043.836463
313,1950.445028
314,1980.482717
315,1934.218053
316,1959.167204
317,1962.035747
318,1914.756601
319,2010.867109
320,1988.581261
321,2042.041817
322,1992.499114
323,2015.209007
324,2008.746264
325,1990.563693
326,2032.469678
327,1950.563615
328,2025.946075
329,2000.176785
330,2070.288281
331,1989.390366
332,2056.104108
333,2024.660021
334,2016.404069
335,2057.717858
336,2041.887069
337,2004.779148
338,2009.55096
339,2017.233339
340,2006.942121
341,-8423.224739
342,2004.684509
343,1993.779097
344,2066.706788
345,2015.70819
346,2000.331367
347,1987.893548
348,2015.20212
349,2046.016412
350,2078.822525
351,2043.610796
352,2007.62865
353,1956.774257
354,1990.600462
355,2011.101779
356,1983.806523
357,1986.553229
358,2032.087069
