step,reward
0,137.067062
1,130.727706
2,139.987164
3,129.295257
4,127.292748
5,136.816255
6,136.020636
7,136.434556
8,131.22051
9,128.938647
10,136.866952
11,126.748417
12,131.426791
13,126.048954
14,138.171796
15,128.772177
16,130.956371
17,131.697049
18,131.572275
19,136.44841
20,135.584373
21,135.023199
22,131.492553
23,129.256838
24,131.6192
25,138.046743
26,136.295663
27,129.777411
28,131.25068
29,121.265326
30,132.964474
31,129.948727
32,135.993631
33,130.642522
34,133.694395
35,133.081581
36,126.660364
37,130.745276
38,127.552269
39,134.237858
40,124.921381
41,143.630911
42,136.487037
43,132.61082
44,130.167404
45,133.958426
46,139.508974
47,130.258691
48,126.830892
49,126.611633
50,133.374375
51,131.240938
52,130.706056
53,132.960792
54,136.817761
55,128.99039
56,131.63535
57,130.906943
58,137.953675
59,138.154836
60,128.3342
61,128.735238
62,131.855457
63,132.559443
64,132.151925
65,128.106795
66,123.468712
67,132.492922
68,132.754643
69,131.780389
70,142.074889
71,143.157176
72,128.623416
73,131.179945
74,132.619522
75,128.180875
76,131.792112
77,132.254898
78,125.433341
79,136.608959
80,140.065076
81,132.84303
82,127.014397
83,129.761947
84,136.775391
85,134.739944
86,137.099731
87,138.189066
88,140.473883
89,130.691604
90,131.053655
91,131.866293
92,136.644768
93,132.185295
94,131.459554
95,134.146042
96,131.642761
97,137.453002
98,129.656537
99,136.677491
100,136.583251
101,133.37837
102,128.800454
103,140.068039
104,131.14786
105,139.260403
106,133.042482
107,130.338229
108,143.405591
109,133.563989
110,129.836866
111,131.84098
112,129.294947
113,134.469817
114,133.687316
115,135.805191
116,137.080917
117,121.107641
118,127.146291
119,133.369994
120,130.490814
121,130.763898
122,135.042273
123,132.320295
124,137.231309
125,128.501591
126,130.68451
127,127.791475
128,128.896621
129,135.113947
130,131.856183
131,125.604573
132,139.113779
133,126.619761
134,131.541127
135,135.247472
136,133.120147
137,137.946213
138,134.904407
139,133.628832
140,138.608467
141,132.171724
142,131.695268
143,142.766323
144,130.855435
145,127.15575
146,136.386404
147,136.329753
148,137.723631
149,131.666591
150,141.505583
151,136.344193
152,136.137498
153,134.140908
154,129.723021
155,130.703241
156,127.997298
157,138.125575
158,137.026004
159,136.502557
160,127.568842
161,131.662448
162,127.235177
163,138.902567
164,125.840727
165,128.790688
166,135.388068
167,132.749573
168,133.420993
169,135.601035
170,133.565108
171,136.355448
172,133.874156
173,129.317445
174,136.395252
175,132.633107
176,139.380287
177,134.313084
178,130.357079
179,139.890861
180,136.951709
181,137.07769
182,128.799294
183,135.878999
184,125.333466
185,136.773945
186,133.479059
187,139.517804
188,135.364065
189,133.307004
190,134.131896
191,137.295785
192,138.031699
193,127.557492
194,130.945122
195,131.21849
196,129.344621
197,136.130893
198,138.006355
199,139.511705
200,128.703742
201,132.223165
202,125.437934
203,138.723733
204,138.295693
205,138.918353
206,136.166562
207,131.387832
208,131.95261
209,138.685152
210,133.546755
211,132.498444
212,129.963545
213,130.613632
214,127.018188
215,125.947608
216,135.982016
217,133.268737
218,136.077962
219,137.272966
220,128.41601
221,139.067643
222,137.749993
223,141.553805
224,144.495561
225,141.851845
226,139.754396
227,138.812968
228,140.513812
229,135.893591
230,129.309722
231,141.07907
232,129.383981
233,132.469966
234,143.040455
235,136.427422
236,136.123735
237,131.583392
238,129.855339
239,128.020023
240,142.193573
241,133.403341
242,134.158226
243,140.315843
244,123.421231
245,133.706717
246,135.29545
247,135.733837
248,137.200528
249,136.012551
250,140.397125
251,139.664504
252,134.451847
253,139.541388
254,128.451018
255,134.720878
256,139.804973
257,139.149772
258,138.608829
259,135.990512
260,142.036112
261,139.026515
262,133.596763
263,138.775946
264,143.629998
265,143.478725
266,133.720596
267,134.899539
268,141.283556
269,131.47454
270,132.508641
271,135.412059
272,134.205177
273,129.688373
274,135.60958
275,129.497526
276,138.843107
277,127.531197
278,142.872585
279,139.018598
280,138.488679
281,129.808681
282,132.185897
283,131.850311
284,136.622541
285,136.123738
286,134.192144
287,143.353594
288,140.636018
289,135.188479
290,136.539779
291,130.709216
292,139.192743
293,133.394791
294,139.632421
295,128.255545
296,132.04149
297,138.363365
298,133.951701
299,142.450389
300,129.011514
301,137.04297
302,126.185963
303,136.6548
304,131.998997
305,144.548925
306,138.026443
307,132.329638
308,131.158717
309,136.642169
310,138.972792
311,136.484775
312,141.533544
313,129.905237
314,131.410063
315,132.814389
316,140.952383
317,130.039796
318,141.035819
319,133.05686
320,139.999439
321,141.392406
322,131.337
323,136.527979
324,135.440029
325,131.426249
326,137.647214
327,131.4408
328,132.620399
329,137.530628
330,126.596473
331,132.37339
332,135.404893
333,133.337824
334,140.559094
335,134.963755
336,134.398219
337,138.566953
338,126.987457
339,133.05048
340,129.138378
341,127.344769
342,130.743509
343,139.183351
344,140.476052
345,142.810253
346,141.886683
347,137.420083
348,136.179183
349,134.098962
350,131.455866
351,138.630739
352,135.390831
353,133.973651
354,143.380472
355,130.121871
356,137.993387
357,132.476304
358,135.525396
359,132.823731
360,127.574503
361,129.176953
362,137.103942
363,138.504215
364,128.567859
365,129.70384
366,134.792918
367,129.112573
368,132.260178
369,132.818342
370,141.703617
371,136.445354
372,138.733012
373,133.352662
374,128.616654
375,134.236043
376,130.967325
377,141.777022
378,131.6125
379,135.100592
380,132.131417
381,131.284127
382,133.732795
383,140.130042
384,136.19124
385,131.473592
386,131.674042
387,138.289367
388,136.33723
389,138.669032
390,137.241428
391,137.604411
392,139.054336
393,145.278656
394,134.796681
395,135.523521
396,130.520309
397,136.02668
398,133.258046
399,136.006659
400,132.554993
401,129.344914
402,141.064216
403,139.083341
404,133.594906
405,135.074262
406,132.556361
407,129.2342
408,132.923498
409,139.356325
410,142.73879
411,135.128886
412,133.170618
413,139.905079
414,144.380524
415,136.307311
416,135.022249
417,135.907483
418,134.219962
419,144.853301
420,138.504221
421,140.892525
422,133.866674
423,129.999681
424,143.337729
425,131.856946
426,132.526265
427,136.059015
428,135.141211
429,140.2275
430,138.89248
431,133.689708
432,133.513865
433,146.894876
434,135.218206
435,139.99348
436,140.625289
437,138.601283
438,141.882815
439,136.850855
440,138.028512
441,138.664309
442,139.912893
443,136.607229
444,140.856526
445,139.479607
446,140.904461
447,139.31185
448,139.068878
449,134.688131
450,136.393259
451,142.165281
452,138.157528
453,140.220796
454,135.036114
455,135.377236
456,133.272622
457,129.079834
458,135.443334
459,135.020846
460,133.710302
461,136.580235
462,139.803192
463,136.055808
464,134.094703
465,135.685864
466,131.516139
467,143.198381
468,136.382628
469,145.466905
470,130.891001
471,135.76824
472,129.01106
473,133.668472
474,139.502277
475,133.743568
476,135.976473
477,139.958131
478,127.043836
479,140.724321
480,132.919708
481,142.356667
482,136.447227
483,142.29494
484,137.077332
485,137.078762
486,136.922638
487,142.236617
488,132.194996
489,142.148911
490,137.611183
491,140.257704
492,134.328475
493,135.012251
494,140.454391
495,138.564702
496,139.663056
497,128.601448
498,135.823846
499,130.309961
500,130.591945
501,134.957617
502,123.693041
503,133.917762
504,141.613265
505,146.156664
506,129.763158
507,130.944395
508,134.692675
509,134.303884
510,138.677233
511,139.121502
512,137.278458
513,142.913774
514,137.483693
515,131.023359
516,136.52185
517,131.658197
518,139.688995
519,140.652032
520,137.738404
521,139.796543
522,142.622949
523,131.865662
524,135.456621
525,130.128634
526,139.216166
527,134.575338
528,130.8586
529,136.360188
530,141.099208
531,134.458598
532,146.153754
533,143.798634
534,136.736867
535,139.514283
536,134.092876
537,135.050671
538,139.751794
539,143.421969
540,131.533188
541,130.857616
542,140.974421
543,146.484996
544,141.076647
545,129.269807
546,140.466647
547,136.440369
548,134.362379
549,129.602642
550,139.184429
551,133.266118
552,143.816606
553,141.54067
554,134.274114
555,143.087292
556,136.218725
557,136.021467
558,132.742463
559,126.491626
560,141.032267
561,134.550411
562,140.218731
563,147.299951
564,138.821474
565,132.162741
566,140.289303
567,132.58463
568,134.636975
569,132.456031
570,129.65526
571,137.359368
572,140.270887
573,140.685937
574,137.825009
575,143.072163
576,135.985052
577,138.422545
578,139.779921
579,141.454544
580,145.061107
581,135.377238
582,131.81463
583,145.889332
584,140.186686
585,144.570631
586,133.972959
587,135.943242
588,135.13871
589,134.568379
590,133.197024
591,138.397343
592,137.174257
593,131.238805
594,139.741521
595,136.929154
596,140.116059
597,144.86844
598,136.40103
599,131.072196
600,136.225132
601,141.838929
602,138.559568
603,129.243302
604,140.813208
605,143.871201
606,134.838301
607,138.892464
608,139.355719
609,134.92594
610,142.546742
611,137.42646
612,139.27364
613,141.81925
614,137.793752
615,136.716557
616,141.211997
617,136.903635
618,133.427513
619,133.645708
620,138.876076
621,136.615566
